cohort,cohort_label,is_clinical,n_test,prevalence,n_partitions,rule,rule_label,n_perm,permutation_scheme,seed,alpha,method,conclusion,statistic_name,statistic,p_value,p_is_floor,p_value_report,p_floor,runtime_s,detail,p_holm_across_cohorts,p_bh_across_cohorts,flag_raw,flag_holm,flag_bh,multiplicity_applies
german_credit,German Credit,False,200,0.7,2,m20,n >= 20,,,42,0.05,fixed_threshold_005,no_flag,max-min AUROC gap,0.02913943691975729,,False,n/a,,0.0010101000079885125,worst_partition=age_group; threshold=0.05; no p-value: deterministic threshold rule,,,False,False,False,False
german_credit,German Credit,False,200,0.7,2,m20,n >= 20,,,42,0.05,four_fifths,no_flag,min/max AUROC ratio,0.9577677224736048,,False,n/a,,0.09653979999711737,worst_partition=sex; min_auc=0.6350; max_auc=0.6630; gap_needed_to_fire=0.1326; observed_gap=0.0280; impl=fairlearn.metrics.MetricFrame.ratio; no p-value: deterministic screening rule,,,False,False,False,False
german_credit,German Credit,False,200,0.7,2,m20,n >= 20,,,42,0.05,lum2022,no_flag,V_dc (double-corrected variance),-0.0033896687444364445,1.0,False,1,,0.012726100045256317,worst_partition=age_group; naive_var=0.00042455; mean_sampling_var=0.0038142; noise_share=8.984; obs_range=0.0291; range_moment=0.0000; range_shrunk=0.0000; p_holm_cochranQ=1; bootstrap_ci_flag=False,1.0,1.0,False,False,False,True
german_credit,German Credit,False,200,0.7,2,m20,n >= 20,,,42,0.05,lum2022_bootstrapCI,no_flag,V_dc (double-corrected variance),-0.0033896687444364445,,False,n/a,,0.012738400022499263,"parametric bootstrap 2000 draws; flags when the lower bound on V_dc clears zero; one-sided level alpha/P=0.025 (P=2 partitions), so the family-wise level is alpha=0.05, matching the Holm-adjusted z-test and Q; lo=-0.0038116",,,False,False,False,False
german_credit,German Credit,False,200,0.7,2,m20,n >= 20,,,42,0.05,lum2022_cochranQ,no_flag,tau2 (DerSimonian-Laird),0.0,1.0,False,1,,0.012736800010316074,"precision-weighted homogeneity test on the same inputs; our addition, not in Lum et al.",1.0,1.0,False,False,False,True
german_credit,German Credit,False,200,0.7,2,m30,n >= 30 (published default),,,42,0.05,fixed_threshold_005,no_flag,max-min AUROC gap,0.02913943691975729,,False,n/a,,0.0010223000426776707,worst_partition=age_group; threshold=0.05; no p-value: deterministic threshold rule,,,False,False,False,False
german_credit,German Credit,False,200,0.7,2,m30,n >= 30 (published default),,,42,0.05,four_fifths,no_flag,min/max AUROC ratio,0.9577677224736048,,False,n/a,,0.12069300003349781,worst_partition=sex; min_auc=0.6350; max_auc=0.6630; gap_needed_to_fire=0.1326; observed_gap=0.0280; impl=fairlearn.metrics.MetricFrame.ratio; no p-value: deterministic screening rule,,,False,False,False,False
german_credit,German Credit,False,200,0.7,2,m30,n >= 30 (published default),,,42,0.05,lum2022,no_flag,V_dc (double-corrected variance),-0.0033896687444364445,1.0,False,1,,0.013837900012731552,worst_partition=age_group; naive_var=0.00042455; mean_sampling_var=0.0038142; noise_share=8.984; obs_range=0.0291; range_moment=0.0000; range_shrunk=0.0000; p_holm_cochranQ=1; bootstrap_ci_flag=False,1.0,1.0,False,False,False,True
german_credit,German Credit,False,200,0.7,2,m30,n >= 30 (published default),,,42,0.05,lum2022_bootstrapCI,no_flag,V_dc (double-corrected variance),-0.0033896687444364445,,False,n/a,,0.013846500020008534,"parametric bootstrap 2000 draws; flags when the lower bound on V_dc clears zero; one-sided level alpha/P=0.025 (P=2 partitions), so the family-wise level is alpha=0.05, matching the Holm-adjusted z-test and Q; lo=-0.0038116",,,False,False,False,False
german_credit,German Credit,False,200,0.7,2,m30,n >= 30 (published default),,,42,0.05,lum2022_cochranQ,no_flag,tau2 (DerSimonian-Laird),0.0,1.0,False,1,,0.013845100009348243,"precision-weighted homogeneity test on the same inputs; our addition, not in Lum et al.",1.0,1.0,False,False,False,True
