result_file,scheme_used,n_perm,rules,produced_by,evidence
recompute/results/<cohort>.json  [null_reference block],independent,2000,m30 only,recompute/run_cohort.py -> cohort_null_reference(scheme default) -> recompute/aggregate.py,"verified from the artefact: 10 cohort files carry no 'permutation_scheme' key and no joint-scheme clause in 'null_design', which is the fingerprint of the pre-scheme code path (the independent branch); pinned bit-for-bit by tests/test_null_joint.py::test_independent_scheme_reproduces_published"
recompute/results/summary.csv,independent,2000,m30 only,recompute/run_cohort.py -> cohort_null_reference(scheme default) -> recompute/aggregate.py,"verified from the artefact: 10 cohort files carry no 'permutation_scheme' key and no joint-scheme clause in 'null_design', which is the fingerprint of the pre-scheme code path (the independent branch); pinned bit-for-bit by tests/test_null_joint.py::test_independent_scheme_reproduces_published"
recompute/results/summary.json,independent,2000,m30 only,recompute/run_cohort.py -> cohort_null_reference(scheme default) -> recompute/aggregate.py,"verified from the artefact: 10 cohort files carry no 'permutation_scheme' key and no joint-scheme clause in 'null_design', which is the fingerprint of the pre-scheme code path (the independent branch); pinned bit-for-bit by tests/test_null_joint.py::test_independent_scheme_reproduces_published"
recompute/results/null_comparison.csv,independent,2000,m30 only,recompute/run_cohort.py -> cohort_null_reference(scheme default) -> recompute/aggregate.py,"verified from the artefact: 10 cohort files carry no 'permutation_scheme' key and no joint-scheme clause in 'null_design', which is the fingerprint of the pre-scheme code path (the independent branch); pinned bit-for-bit by tests/test_null_joint.py::test_independent_scheme_reproduces_published"
recompute/results/findings.json,independent,2000,m30 only,recompute/run_cohort.py -> cohort_null_reference(scheme default) -> recompute/aggregate.py,"verified from the artefact: 10 cohort files carry no 'permutation_scheme' key and no joint-scheme clause in 'null_design', which is the fingerprint of the pre-scheme code path (the independent branch); pinned bit-for-bit by tests/test_null_joint.py::test_independent_scheme_reproduces_published"
RECOMPUTED_RESULTS.md,independent,2000,m30 only,recompute/run_cohort.py -> cohort_null_reference(scheme default) -> recompute/aggregate.py,"verified from the artefact: 10 cohort files carry no 'permutation_scheme' key and no joint-scheme clause in 'null_design', which is the fingerprint of the pre-scheme code path (the independent branch); pinned bit-for-bit by tests/test_null_joint.py::test_independent_scheme_reproduces_published"
recompute/results/null_joint/<cohort>.json,BOTH (results.independent and results.joint),10000,"m20,m30,m50,m100,ev10",recompute/null_joint.py,verified from the artefact: every entry carries an explicit 'permutation_scheme' field and both blocks are present
recompute/results/null_sweep_mmin.csv,BOTH (one row per scheme; see the 'scheme' column),10000,"m20,m30,m50,m100,ev10",recompute/aggregate_null_joint.py,verified from the artefact: every entry carries an explicit 'permutation_scheme' field and both blocks are present; the CSV's own 'scheme' column carries it
recompute/results/null_joint_combined.csv,BOTH (one row per scheme; see the 'scheme' column),10000,"m20,m30,m50,m100,ev10",recompute/aggregate_null_joint.py,verified from the artefact: every entry carries an explicit 'permutation_scheme' field and both blocks are present; the CSV's own 'scheme' column carries it
recompute/results/null_joint_sign_tests.csv,BOTH (one row per scheme; see the 'scheme' column),10000,"m20,m30,m50,m100,ev10",recompute/aggregate_null_joint.py,verified from the artefact: every entry carries an explicit 'permutation_scheme' field and both blocks are present; the CSV's own 'scheme' column carries it
recompute/results/null_comparison_joint.csv,"BOTH (old_* columns = independent, new_* = joint)",10000,m30 only,recompute/aggregate_null_joint.py,verified from the artefact: every entry carries an explicit 'permutation_scheme' field and both blocks are present; column prefixes carry it
RECOMPUTED_NULL_JOINT.md,BOTH (reported side by side),10000,"m20,m30,m50,m100,ev10",recompute/report_null_joint.py,verified from the artefact: every entry carries an explicit 'permutation_scheme' field and both blocks are present
recompute/results/comparator_comparison.csv  [method=permutation_null],joint,10000,"m20,m30,m50,m100,ev10",recompute/comparators/incumbent.py run_cohort (scheme='joint') reading results/null_joint/,"verified against the stored null runs: of 88 estimable incumbent p-values in comparator_comparison.csv, 49 match the JOINT block to within 1e-12 (max abs difference 1.8e-02, one float ULP -- the CSV round trip), 39 match ONLY the independent block, 10 match both because the two schemes agree there, 0 match neither"
recompute/results/comparator_comparison.csv  [method=diciccio2020],joint,10000,"m20,m30,m50,m100,ev10","recompute/comparators/diciccio.py run_cohort (scheme='joint' default, core.py:360)",code path: run_cohort's `scheme` argument defaults to 'joint' and run.py never overrides it
"recompute/results/comparator_comparison.csv  [lum2022*, four_fifths, fixed_threshold_005]",n/a -- no permutation,,all five,"recompute/comparators/{lum,four_fifths,naive}.py",these methods are closed-form or deterministic; the permutation scheme cannot apply to them
recompute/results/comparator_type1.csv,joint,999,"m30,ev10","recompute/comparators/type1.py -> {incumbent,diciccio}.pvalue_only -> PermContext.draw",code path: PermContext.draw's `scheme` argument defaults to 'joint' (core.py:360) and neither pvalue_only passes it
recompute/results/comparator_runtime.csv,joint,10000,"m20,m30,m50,m100,ev10",recompute/comparators/bench.py,code path: incumbent.recompute_null and diciccio.run_cohort both default to scheme='joint'; the stored-kernel column is read from results['joint']['runtime_s']
COMPARATOR_EVALUATION.md / .tables.md,joint,10000 (cohorts); 999 (Type I),"m20,m30,m50,m100,ev10",recompute/comparators/report.py,derived entirely from the three comparator CSVs above
